date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:36	109/109	---M-Z	200	added ('OK')	text/plain	date:Sun,%2017%20Dec%202023%2004:16:39%20GMT	https://ciuskill.com/robots.txt		(from )
09:46:38	288154/288154	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Dec%202023%2004:16:40%20GMT	https://ciuskill.com/	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/index.html	(from )
09:46:40	18544/18544	---M--	200	added ('OK')	image/gif	date:Sun,%2010%20Sep%202023%2017:27:10%20GMT	https://ciuskill.com/wp-content/themes/estudiar/vamtam/assets/images/loader-ring.gif	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/themes/estudiar/vamtam/assets/images/loader-ring.gif	(from https://ciuskill.com/)
09:46:40	110035/110035	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2018:44:43%20GMT	https://ciuskill.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-includes/css/dist/block-library/style.min1e39.css	(from https://ciuskill.com/)
09:46:42	18339/18339	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202023%2015:20:03%20GMT	https://ciuskill.com/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/extension.min.css?ver=7.1.10	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/extension.min7632.css	(from https://ciuskill.com/)
09:46:42	53839/53839	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202023%2015:20:03%20GMT	https://ciuskill.com/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/font-awesome-5.min.css?ver=7.1.10	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/font-awesome-5.min7632.css	(from https://ciuskill.com/)
09:46:43	68/68	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202023%2015:20:03%20GMT	https://ciuskill.com/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/woocommerce-sales-funnels.min.css?ver=7.1.10	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/woocommerce-sales-funnels.min7632.css	(from https://ciuskill.com/)
09:46:43	22546/22546	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2007:14:49%20GMT	https://ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/jquery-confirm.min.css?ver=6.4.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/jquery-confirm.min1e39.css	(from https://ciuskill.com/)
09:46:44	6741/6741	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2007:14:49%20GMT	https://ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/toastr.min.css?ver=6.4.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/toastr.min1e39.css	(from https://ciuskill.com/)
09:46:44	2870/2870	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2007:14:49%20GMT	https://ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/zebra_datepicker.min.css?ver=6.4.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/zebra_datepicker.min1e39.css	(from https://ciuskill.com/)
09:46:45	113291/113291	---MCZ	200	added ('OK')	application/rss+xml	etag:%22922caa4b7ede752cd5b86d3435e40e4e%22	https://ciuskill.com/feed/	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/feed/index.html	(from https://ciuskill.com/)
09:46:45	10884/10884	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2007:14:49%20GMT	https://ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/print/wlsm-preview.css?ver=5.1	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/print/wlsm-previewc721.css	(from https://ciuskill.com/)
09:46:45	12896/12896	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2007:14:49%20GMT	https://ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/wlsm.css?ver=5.1	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/wlsmc721.css	(from https://ciuskill.com/)
09:46:46	6355/6355	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2007:14:49%20GMT	https://ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/wlsm-dashboard.css?ver=5.1	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/school-MANAGEMENT-PRO/assets/css/wlsm-dashboardc721.css	(from https://ciuskill.com/)
09:46:46	44809/44809	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202023%2005:53:42%20GMT	https://ciuskill.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min.css?ver=6.4.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min1e39.css	(from https://ciuskill.com/)
09:46:46	1267/1267	---M-Z	200	added ('OK')	application/rss+xml	etag:%22922caa4b7ede752cd5b86d3435e40e4e%22	https://ciuskill.com/comments/feed/	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/comments/feed/index.html	(from https://ciuskill.com/)
09:46:46	30394/30394	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202023%2005:53:42%20GMT	https://ciuskill.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min.css?ver=6.4.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min1e39.css	(from https://ciuskill.com/)
09:46:46	279857/279857	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202023%2005:53:42%20GMT	https://ciuskill.com/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min.css?ver=6.4.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min1e39.css	(from https://ciuskill.com/)
09:46:47	19533/19533	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2005:00:47%20GMT	https://ciuskill.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://ciuskill.com/)
09:46:47	117324/117324	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2005:00:47%20GMT	https://ciuskill.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.16.6	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/elementor/assets/css/frontend-lite.minf92b.css	(from https://ciuskill.com/)
09:46:48	16471/16471	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2005:00:47%20GMT	https://ciuskill.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://ciuskill.com/)
09:46:48	16989/16989	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:13:00%20GMT	https://ciuskill.com/wp-content/uploads/elementor/css/post-18.css?ver=1697706780	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/uploads/elementor/css/post-18a8d7.css	(from https://ciuskill.com/)
09:46:48	11764/11764	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2004:59:07%20GMT	https://ciuskill.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.16.2	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min6b60.css	(from https://ciuskill.com/)
09:46:50	150351/150351	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Dec%202023%2004:16:52%20GMT	https://ciuskill.com/wp-content/uploads/elementor/custom-icons/theme-icons/style.css?ver=1.0.0	C:/Users/Admin/Desktop/try9571/second/ciuskill.com/wp-content/uploads/elementor/custom-icons/theme-icons/style8a54.css	(from https://ciuskill.com/)
